28225, 101361, 180361, 133005, 170444, 101519, 26372, 75524, 44664, 71342, 245580, 195124, 180764, 197448, 66963, 250481, 
175155, 151467, 186730, 18924, 151838, 236344, 220447, 30681, 72297, 159596, 228070, 89501, 189417, 131620, 190344, 108571, 
6249, 196407, 228556, 173624, 166021, 36999, 129913, 35964, 1907, 140113, 76885, 92887, 79869, 165317, 36236, 234586, 
145746, 221083, 110513, 207073, 39333, 260330, 130769, 51853, 183687, 108053, 198939, 64773, 66818, 17533, 11154, 32864, 
157725, 56745, 138188, 106331, 111477, 4355, 18119, 94714, 60542, 233023, 203065, 134922, 56116, 130966, 103382, 232496, 
173788, 146693, 114998, 252450, 60356, 172935, 129182, 85669, 165400, 92702, 128627, 147136, 101749, 105540, 67829, 85190, 
7061, 208089, 6877, 186494, 185472, 129388, 109080, 159909, 223399, 26829, 234192, 227121, 181910, 260508, 3650, 230028, 
99409, 121047, 81676, 147187, 7873, 94628, 111887, 246967, 101096, 189287, 56598, 226467, 149861, 43943, 10071, 184316, 
17460, 73332, 171312, 242612, 235652, 53789, 148363, 204139, 187300, 237966, 225680, 162118, 161700, 97228, 252180, 154998, 
215383, 17980, 199633, 112762, 59160, 67721, 254634, 243368, 19060, 43756, 92610, 235410, 42204, 136246, 21823, 158748, 
205177, 206837, 252260, 154408, 89929, 208818, 256434, 164532, 9585, 225489, 69319, 10231, 49193, 46894, 186397, 127293, 
120776, 71033, 230975, 103359, 195218, 157169, 121579, 51, 174331, 121571, 93888, 54064, 247689, 140142, 73914, 65546, 
106993, 231277, 222614, 63677, 54337, 51246, 193655, 217063, 47049, 260125, 136895, 47373, 261085, 58578, 17703, 212558, 
58210, 226653, 108649, 215259, 235418, 36364, 249007, 35524, 120162, 13767, 6987, 176321, 187704, 185982, 197426, 188627, 
131134, 212154, 96737, 62603, 18549, 217394, 68810, 166651, 171823, 12496, 233930, 227095, 190481, 3173, 157916, 71466, 
146210, 103113, 98502, 117737, 124977, 239920, 15140, 48941, 14172, 100511, 122648, 47000, 110627, 78775, 260438, 127442, 
147072, 220682, 205373, 63396, 170789, 192166, 64585, 165121, 78187, 255556, 192467, 115228, 68834, 23026, 19104, 201236, 
18076, 175400, 164265, 113615, 225667, 21227, 64332, 47889, 242955, 50828, 145720, 120568, 237706, 171706, 194187, 82978, 
125346, 89419, 98782, 167476, 245920, 82514, 49492, 180733, 246061, 214873, 49345, 163882, 83472, 256938, 33141, 250856, 
136939, 38571, 87440, 251172, 199433, 92741, 25452, 247175, 256191, 106978, 23740, 74787, 9087, 111350, 50902, 75442, 
205484, 255738, 181025, 116869, 53342, 59029, 131459, 13408, 206531, 137964, 48316, 210334, 189802, 200900, 97601, 99412, 
225671, 256209, 224079, 212755, 110543, 106556, 6189, 162922, 198384, 3405, 43331, 110976, 136967, 39309, 156250, 118148, 
8324, 19273, 251766, 135559, 235704, 191410, 240733, 159705, 63950, 160366, 161728, 17452, 251117, 137311, 96464, 174488, 
173530, 96270, 211538, 39989, 22814, 65516, 179281, 258386, 235085, 190972, 13211, 80344, 221463, 18114, 238449, 79213, 
95534, 27712, 27849, 53101, 234848, 178824, 258144, 215837, 25776, 34209, 137930, 145516, 233794, 92954, 46608, 189533, 
121523, 59802, 144450, 176653, 185531, 224983, 188371, 29956, 226148, 178414, 147722, 89727, 54634, 223200, 99815, 117901, 
89312, 184937, 26490, 172469, 59581, 206575, 229794, 58479, 82022, 106118, 111917, 199452, 245563, 238035, 233218, 155689, 
147195, 178701, 208552, 177781, 115124, 104584, 174103, 72066, 41384, 42151, 221198, 2, 94154, 93618, 187954, 97904, 
119092, 73525, 86525, 46716, 234535, 140539, 154215, 64179, 115679, 64821, 169847, 219270, 194036, 22355, 187814, 220809, 
207176, 148908, 252633, 249952, 107092, 109635, 194172, 154102, 194476, 57959, 55223, 118755, 25886, 46975, 31616, 203022, 
25918, 221239, 98164, 31010, 90339, 49170, 192424, 171076, 30475, 208758, 113976, 199744, 34807, 190452, 8960, 47671, 
42492, 117574, 210360, 15993, 135550, 191341, 217495, 154325, 237321, 48580, 208564, 189169, 251096, 83150, 250169, 152803, 
245320, 180343, 252273, 127975, 10174, 70519, 246818, 252517, 122584, 132469, 67413, 28259, 9000, 175378, 74102, 39475, 
182946, 236701, 57028, 160178, 133162, 162569, 130574, 46233, 179396, 55509, 191295, 159665, 47969, 82175, 254296, 165083, 
178990, 108055, 248916, 147438, 259359, 24437, 140873, 259900, 240128, 171658, 43277, 223211, 202130, 191306, 152770, 90944, 
88792, 132992, 44105, 140403, 30667, 240506, 68896, 154073, 110367, 66693, 128275, 233520, 136054, 143812, 55493, 153735, 
237806, 103200, 154255, 164287, 106075, 11389, 16369, 227824, 137528, 250122, 145421, 136361, 72253, 37251, 12576, 45582, 
207061, 50421, 88524, 17888, 182888, 122787, 259365, 210050, 149892, 23045, 197719, 108704, 48196, 184684, 219202, 160584, 
26484, 140366, 206106, 143048, 190716, 147964, 177856, 85093, 175581, 94344, 118595, 31472, 214638, 201972, 68198, 105302, 
237249, 225132, 39438, 225520, 80568, 111028, 219545, 51049, 235331, 94431, 62201, 176644, 230985, 190182, 257803, 139886, 
182380, 14176, 122485, 147739, 205624, 158386, 153825, 116085, 223901, 12482, 237289, 176846, 152577, 139044, 50185, 57924, 
90215, 98494, 222848, 126919, 13371, 122302, 222061, 249269, 153085, 88739, 196948, 213771, 247046, 91285, 209234, 230375, 
205449, 114940, 237911, 145323, 100966, 235561, 152219, 254146, 177214, 33486, 72373, 142261, 105658, 234184, 114633, 203709, 
213628, 173866, 96821, 36804, 4557, 196403, 22806, 138867, 91006, 256109, 255490, 108527, 23639, 210333, 96790, 139125, 
85032, 52822, 114814, 190211, 55196, 209406, 52601, 187460, 254523, 134381, 87583, 38677, 48074, 124131, 175521, 17398, 
205329, 164930, 73973, 10143, 78867, 252877, 214375, 82323, 96282, 55351, 181113, 177292, 229820, 58358, 124847, 215335, 
172334, 131301, 64774, 152316, 230295, 154283, 206242, 192712, 181, 54957, 251917, 87857, 79962, 236230, 183794, 231392, 
61851, 61863, 27580, 210295, 59620, 205501, 43629, 196470, 19167, 76260, 12935, 159772, 255349, 119499, 179351, 234834, 
124120, 237000, 151610, 51413, 214033, 177672, 24903, 245767, 65501, 167014, 249366, 170810, 188912, 134907, 106131, 54086, 
45710, 180397, 193590, 20580, 240176, 121720, 137504, 143562, 97548, 127395, 236073, 164383, 68405, 38611, 254470, 258590, 
78548, 91147, 30214, 133093, 220432, 251226, 206641, 245602, 235127, 67481, 252174, 34596, 56333, 110724, 146835, 213307, 
36399, 151737, 142285, 24177, 252976, 28762, 108711, 69002, 215931, 62282, 253982, 56645, 926, 89545, 63645, 182058, 
229021, 234529, 116165, 160119, 7956, 19061, 32, 114344, 68232, 90133, 202312, 212967, 252084, 208396, 10868, 237439, 
